"Sample" "Family.ID" "Population" "Population.Description" "Gender" "Relationship" "superpop"
"2615" "NA18576" "NA18576" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2616" "NA18577" "NA18577" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2617" "NA18579" "NA18579" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2618" "NA18582" "NA18582" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2619" "NA18591" "NA18591" "CHB" "Han Chinese in Bejing, China" "female" "unrel" "EAS"
"2620" "NA18592" "NA18592" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2621" "NA18593" "NA18593" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2622" "NA18595" "NA18595" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2623" "NA18596" "NA18596" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2624" "NA18597" "NA18597" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2625" "NA18599" "NA18599" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2626" "NA18602" "NA18602" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2627" "NA18603" "NA18603" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2628" "NA18605" "NA18605" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2629" "NA18606" "NA18606" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2630" "NA18608" "NA18608" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2631" "NA18609" "NA18609" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2632" "NA18610" "NA18610" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2633" "NA18611" "NA18611" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2634" "NA18612" "NA18612" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2635" "NA18613" "NA18613" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2636" "NA18614" "NA18614" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2637" "NA18615" "NA18615" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2638" "NA18616" "NA18616" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2639" "NA18617" "NA18617" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2640" "NA18618" "NA18618" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2641" "NA18619" "NA18619" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2642" "NA18620" "NA18620" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2643" "NA18621" "NA18621" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2644" "NA18622" "NA18622" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2645" "NA18623" "NA18623" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2646" "NA18624" "NA18624" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2647" "NA18625" "NA18625" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2648" "NA18626" "NA18626" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2649" "NA18627" "NA18627" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2650" "NA18628" "NA18628" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2651" "NA18629" "NA18629" "CHB" "Han Chinese in Bejing, China" "male" "unrel" "EAS"
"2652" "NA18630" "NA18630" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2653" "NA18631" "NA18631" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2654" "NA18632" "NA18632" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2655" "NA18633" "NA18633" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2656" "NA18634" "NA18634" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2657" "NA18635" "NA18635" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2658" "NA18636" "NA18636" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2659" "NA18637" "NA18637" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2660" "NA18638" "NA18638" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2661" "NA18639" "NA18639" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2662" "NA18640" "NA18640" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2663" "NA18641" "NA18641" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2664" "NA18642" "NA18642" "CHB" "Han Chinese in Bejing, China" "female" "" "EAS"
"2665" "NA18643" "NA18643" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2666" "NA18644" "NA18644" "CHB" "Han Chinese in Bejing, China" "female" "unrel" "EAS"
"2667" "NA18645" "NA18645" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2668" "NA18646" "NA18646" "CHB" "Han Chinese in Bejing, China" "female" "unrel" "EAS"
"2669" "NA18647" "NA18647" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2670" "NA18648" "NA18648" "CHB" "Han Chinese in Bejing, China" "male" "unrel" "EAS"
"2671" "NA18740" "NA18740" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2672" "NA18745" "NA18745" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2673" "NA18747" "NA18747" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2674" "NA18748" "NA18748" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2675" "NA18749" "NA18749" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2676" "NA18757" "NA18757" "CHB" "Han Chinese in Bejing, China" "male" "" "EAS"
"2677" "NA18791" "NA18791" "CHB" "Han Chinese in Bejing, China" "male" "unrel" "EAS"
"2678" "NA18794" "NA18794" "CHB" "Han Chinese in Bejing, China" "male" "unrel" "EAS"
"2679" "NA18795" "NA18795" "CHB" "Han Chinese in Bejing, China" "female" "unrel" "EAS"
"2680" "NA18852" "Y018" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2681" "NA18853" "Y018" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2682" "NA18854" "Y018" "YRI" "Yoruba in Ibadan, Nigeria" "male" "child" "AFR"
"2683" "NA18855" "Y023" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2684" "NA18856" "Y023" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2685" "NA18857" "Y023" "YRI" "Yoruba in Ibadan, Nigeria" "male" "child" "AFR"
"2686" "NA18858" "Y012" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2687" "NA18859" "Y012" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2688" "NA18860" "Y012" "YRI" "Yoruba in Ibadan, Nigeria" "male" "child" "AFR"
"2689" "NA18861" "Y024" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2690" "NA18862" "Y024" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2691" "NA18863" "Y024" "YRI" "Yoruba in Ibadan, Nigeria" "male" "child" "AFR"
"2692" "NA18864" "Y026" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2693" "NA18865" "Y026" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2694" "NA18867" "Y007" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2695" "NA18868" "Y007" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2696" "NA18869" "Y007" "YRI" "Yoruba in Ibadan, Nigeria" "male" "child" "AFR"
"2697" "NA18870" "Y017" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2698" "NA18871" "Y017" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2699" "NA18872" "Y017" "YRI" "Yoruba in Ibadan, Nigeria" "male" "child" "AFR"
"2700" "NA18873" "Y019" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2701" "NA18874" "Y019" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2702" "NA18875" "Y019" "YRI" "Yoruba in Ibadan, Nigeria" "female" "child" "AFR"
"2703" "NA18876" "Y020" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2704" "NA18877" "Y020" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2705" "NA18878" "Y021" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2706" "NA18879" "Y021" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2707" "NA18881" "Y022" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2708" "NA18906" "Y020" "YRI" "Yoruba in Ibadan, Nigeria" "female" "child" "AFR"
"2709" "NA18907" "Y025" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2710" "NA18908" "Y025a" "YRI" "Yoruba in Ibadan, Nigeria" "male" "not father" "AFR"
"2711" "NA18909" "Y027" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2712" "NA18910" "Y027" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2713" "NA18911" "Y027" "YRI" "Yoruba in Ibadan, Nigeria" "male" "child" "AFR"
"2714" "NA18912" "Y028" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2715" "NA18913" "Y028" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2716" "NA18914" "Y028" "YRI" "Yoruba in Ibadan, Nigeria" "male" "child" "AFR"
"2717" "NA18915" "Y029" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2718" "NA18916" "Y030" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2719" "NA18917" "Y030" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2720" "NA18923" "Y033" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2721" "NA18924" "Y033" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2722" "NA18925" "Y033" "YRI" "Yoruba in Ibadan, Nigeria" "male" "child" "AFR"
"2723" "NA18930" "Y030" "YRI" "Yoruba in Ibadan, Nigeria" "female" "child" "AFR"
"2724" "NA18933" "Y036" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2725" "NA18934" "Y036" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2726" "NA18935" "Y036" "YRI" "Yoruba in Ibadan, Nigeria" "male" "child" "AFR"
"2727" "NA18939" "NA18939" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2728" "NA18940" "NA18940" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2729" "NA18941" "NA18941" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2730" "NA18942" "NA18942" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2731" "NA18943" "NA18943" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2732" "NA18944" "NA18944" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2733" "NA18945" "NA18945" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2734" "NA18946" "NA18946" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2735" "NA18947" "NA18947" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2736" "NA18948" "NA18948" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2737" "NA18949" "NA18949" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2738" "NA18950" "NA18950" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2739" "NA18951" "NA18951" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2740" "NA18952" "NA18952" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2741" "NA18953" "NA18953" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2742" "NA18954" "NA18954" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2743" "NA18955" "NA18955" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2744" "NA18956" "NA18956" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2745" "NA18957" "NA18957" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2746" "NA18959" "NA18959" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2747" "NA18960" "NA18960" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2748" "NA18961" "NA18961" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2749" "NA18962" "NA18962" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2750" "NA18963" "NA18963" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2751" "NA18964" "NA18964" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2752" "NA18965" "NA18965" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2753" "NA18966" "NA18966" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2754" "NA18967" "NA18967" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2755" "NA18968" "NA18968" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2756" "NA18969" "NA18969" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2757" "NA18970" "NA18970" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2758" "NA18971" "NA18971" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2759" "NA18972" "NA18972" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2760" "NA18973" "NA18973" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2761" "NA18974" "NA18974" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2762" "NA18975" "NA18975" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2763" "NA18976" "NA18976" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2764" "NA18977" "NA18977" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2765" "NA18978" "NA18978" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2766" "NA18979" "NA18979" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2767" "NA18980" "NA18980" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2768" "NA18981" "NA18981" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2769" "NA18982" "NA18982" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2770" "NA18983" "NA18983" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2771" "NA18984" "NA18984" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2772" "NA18985" "NA18985" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2773" "NA18986" "NA18986" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2774" "NA18987" "NA18987" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2775" "NA18988" "NA18988" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2776" "NA18989" "NA18989" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2777" "NA18990" "NA18990" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2778" "NA18991" "NA18991" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2779" "NA18992" "NA18992" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2780" "NA18993" "NA18993" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2781" "NA18994" "NA18994" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2782" "NA18995" "NA18995" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2783" "NA18997" "NA18997" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2784" "NA18998" "NA18998" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2785" "NA18999" "NA18999" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2786" "NA19000" "NA19000" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2787" "NA19001" "NA19001" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2788" "NA19002" "NA19002" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2789" "NA19003" "NA19003" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2790" "NA19004" "NA19004" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2791" "NA19005" "NA19005" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2792" "NA19006" "NA19006" "JPT" "Japanese in Tokyo, Japan" "male" "unrel" "EAS"
"2793" "NA19007" "NA19007" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2794" "NA19009" "NA19009" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2795" "NA19010" "NA19010" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2796" "NA19011" "NA19011" "JPT" "Japanese in Tokyo, Japan" "female" "unrel" "EAS"
"2797" "NA19012" "NA19012" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2798" "NA19017" "NA19017" "LWK" "Luhya in Webuye, Kenya" "female" "unrel" "AFR"
"2799" "NA19019" "NA19019" "LWK" "Luhya in Webuye, Kenya" "female" "unrel" "AFR"
"2800" "NA19020" "NA19020" "LWK" "Luhya in Webuye, Kenya" "male" "" "AFR"
"2801" "NA19023" "NA19023" "LWK" "Luhya in Webuye, Kenya" "female" "unrel" "AFR"
"2802" "NA19024" "NA19024" "LWK" "Luhya in Webuye, Kenya" "female" "unrel" "AFR"
"2803" "NA19025" "NA19025" "LWK" "Luhya in Webuye, Kenya" "male" "unrel" "AFR"
"2804" "NA19026" "NA19026" "LWK" "Luhya in Webuye, Kenya" "male" "unrel" "AFR"
"2805" "NA19027" "NA19027" "LWK" "Luhya in Webuye, Kenya" "male" "" "AFR"
"2806" "NA19028" "NA19028" "LWK" "Luhya in Webuye, Kenya" "male" "" "AFR"
"2807" "NA19030" "NA19030" "LWK" "Luhya in Webuye, Kenya" "female" "unrel" "AFR"
"2808" "NA19031" "NA19031" "LWK" "Luhya in Webuye, Kenya" "male" "" "AFR"
"2809" "NA19035" "NA19035" "LWK" "Luhya in Webuye, Kenya" "male" "" "AFR"
"2810" "NA19036" "NA19036" "LWK" "Luhya in Webuye, Kenya" "female" "" "AFR"
"2811" "NA19037" "NA19037" "LWK" "Luhya in Webuye, Kenya" "female" "unrel" "AFR"
"2812" "NA19038" "NA19038" "LWK" "Luhya in Webuye, Kenya" "female" "" "AFR"
"2813" "NA19041" "NA19041" "LWK" "Luhya in Webuye, Kenya" "male" "" "AFR"
"2814" "NA19042" "NA19042" "LWK" "Luhya in Webuye, Kenya" "female" "unrel" "AFR"
"2815" "NA19043" "NA19043" "LWK" "Luhya in Webuye, Kenya" "male" "unrel" "AFR"
"2816" "NA19044" "NA19044" "LWK" "Luhya in Webuye, Kenya" "male" "" "AFR"
"2817" "NA19046" "NA19046" "LWK" "Luhya in Webuye, Kenya" "male" "" "AFR"
"2818" "NA19054" "NA19054" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2819" "NA19055" "NA19055" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2820" "NA19056" "NA19056" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2821" "NA19057" "NA19057" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2822" "NA19058" "NA19058" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2823" "NA19059" "NA19059" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2824" "NA19060" "NA19060" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2825" "NA19062" "NA19062" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2826" "NA19063" "NA19063" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2827" "NA19064" "NA19064" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2828" "NA19065" "NA19065" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2829" "NA19066" "NA19066" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2830" "NA19067" "NA19067" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2831" "NA19068" "NA19068" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2832" "NA19070" "NA19070" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2833" "NA19072" "NA19072" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2834" "NA19074" "NA19074" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2835" "NA19075" "NA19075" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2836" "NA19076" "NA19076" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2837" "NA19077" "NA19077" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2838" "NA19078" "NA19078" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2839" "NA19079" "NA19079" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2840" "NA19080" "NA19080" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2841" "NA19081" "NA19081" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2842" "NA19082" "NA19082" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2843" "NA19083" "NA19083" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2844" "NA19084" "NA19084" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2845" "NA19085" "NA19085" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2846" "NA19086" "NA19086" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2847" "NA19087" "NA19087" "JPT" "Japanese in Tokyo, Japan" "female" "" "EAS"
"2848" "NA19088" "NA19088" "JPT" "Japanese in Tokyo, Japan" "male" "" "EAS"
"2849" "NA19089" "NA19089" "JPT" "Japanese in Tokyo, Japan" "male" "unrel" "EAS"
"2850" "NA19090" "NA19090" "JPT" "Japanese in Tokyo, Japan" "female" "unrel" "EAS"
"2851" "NA19091" "NA19091" "JPT" "Japanese in Tokyo, Japan" "male" "unrel" "EAS"
"2852" "NA19092" "Y040" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2853" "NA19093" "Y040" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2854" "NA19094" "Y040" "YRI" "Yoruba in Ibadan, Nigeria" "female" "child" "AFR"
"2855" "NA19095" "Y041" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2856" "NA19096" "Y041" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2857" "NA19097" "Y041" "YRI" "Yoruba in Ibadan, Nigeria" "female" "child" "AFR"
"2858" "NA19098" "Y105" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2859" "NA19099" "Y105" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2860" "NA19100" "Y105" "YRI" "Yoruba in Ibadan, Nigeria" "female" "child" "AFR"
"2861" "NA19101" "Y042" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2862" "NA19102" "Y042" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2863" "NA19103" "Y042" "YRI" "Yoruba in Ibadan, Nigeria" "male" "child" "AFR"
"2864" "NA19104" "Y080" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2865" "NA19105" "Y080" "YRI" "Yoruba in Ibadan, Nigeria" "female" "paternal grandmother" "AFR"
"2866" "NA19107" "Y006" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2867" "NA19108" "Y006" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2868" "NA19109" "Y006" "YRI" "Yoruba in Ibadan, Nigeria" "female" "child" "AFR"
"2869" "NA19113" "Y079" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2870" "NA19114" "Y079" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2871" "NA19115" "Y079" "YRI" "Yoruba in Ibadan, Nigeria" "female" "child" "AFR"
"2872" "NA19116" "Y060" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2873" "NA19117" "Y100" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2874" "NA19118" "Y100" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2875" "NA19119" "Y060" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2876" "NA19120" "Y060" "YRI" "Yoruba in Ibadan, Nigeria" "male" "child" "AFR"
"2877" "NA19121" "Y061" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2878" "NA19122" "Y061" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2879" "NA19123" "Y061" "YRI" "Yoruba in Ibadan, Nigeria" "male" "child" "AFR"
"2880" "NA19127" "Y077" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2881" "NA19128" "Y077" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2882" "NA19129" "Y077" "YRI" "Yoruba in Ibadan, Nigeria" "female" "child" "AFR"
"2883" "NA19130" "Y101" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2884" "NA19131" "Y101" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2885" "NA19132" "Y101" "YRI" "Yoruba in Ibadan, Nigeria" "female" "child" "AFR"
"2886" "NA19137" "Y043" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2887" "NA19138" "Y043" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2888" "NA19139" "Y043" "YRI" "Yoruba in Ibadan, Nigeria" "male" "child" "AFR"
"2889" "NA19140" "Y071" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2890" "NA19141" "Y071" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2891" "NA19142" "Y071" "YRI" "Yoruba in Ibadan, Nigeria" "male" "child" "AFR"
"2892" "NA19143" "Y074" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2893" "NA19144" "Y074" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2894" "NA19145" "Y074" "YRI" "Yoruba in Ibadan, Nigeria" "male" "child" "AFR"
"2895" "NA19146" "Y075" "YRI" "Yoruba in Ibadan, Nigeria" "male" "father" "AFR"
"2896" "NA19147" "Y075" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
"2897" "NA19148" "Y075" "YRI" "Yoruba in Ibadan, Nigeria" "female" "child" "AFR"
"2898" "NA19149" "Y073" "YRI" "Yoruba in Ibadan, Nigeria" "female" "mother" "AFR"
